origin,destination,num_flights,total_route_co2,avg_co2_per_flight,avg_price
GRU,CPT,44,74044000,1682818.182,2679.409091
XIY,CTU,237,73830000,311518.9873,621.8595745
CNF,ADD,42,73540000,1750952.381,2287.642857
ALG,CMN,152,73389000,482822.3684,866.6052632
VCP,LIS,97,73373000,756422.6804,1294.072165
CAN,CTU,254,73244000,288362.2047,622.8897638
SYD,SAW,46,73228000,1591913.043,1428.717391
SZX,OSL,50,72676000,1453520,2107.8
CGO,CTU,242,72401000,299177.686,610.7748918
SZX,TPE,212,72142000,340292.4528,788.2783019
CAN,CNF,28,71962000,2570071.429,3540.714286
XIY,MNL,147,71731000,487965.9864,1178.802721
HGH,LIS,57,71671000,1257385.965,2242.314815
MEL,CAN,58,71654000,1235413.793,3796.310345
HGH,SCL,35,71100000,2031428.571,4649
AEP,ADD,32,70683000,2208843.75,10625.03125
CGO,OSL,44,70519000,1602704.545,3605.295455
PVG,DXB,67,70393000,1050641.791,2539.208955
ALG,PTY,54,70372000,1303185.185,1649.907407
CTU,CAN,250,70280000,281120,593.6
ADD,BKK,71,70147000,987985.9155,1284.859155
CTU,DOH,67,70127000,1046671.642,1911.283582
PEK,CGK,104,68995000,663413.4615,2292.788462
VIE,SVO,122,68761000,563614.7541,1902.352459
HGH,TPE,193,68656000,355730.5699,679.2146597
XIY,SCL,22,68127000,3096681.818,7352.954545
DUB,SVO,103,67666000,656951.4563,1745.291262
DEL,SHA,52,67483000,1297750,5013
CGO,HGH,258,67187000,260414.7287,533.212766
CTU,TPE,172,67081000,390005.814,715.4825581
GRU,SAW,38,67044000,1764315.789,1630.894737
CAN,DXB,70,66185000,945500,2952.528571
PEK,PTY,33,65921000,1997606.061,3769.636364
CDG,CGO,12,65654000,5471166.667,12098.25
ADD,CPT,83,65167000,785144.5783,1601.578313
PVG,TPE,175,64903000,370874.2857,1150.924855
CGO,TPE,186,64696000,347827.957,639.3651685
VIE,PVG,49,64685000,1320102.041,3835.530612
SZX,CAN,259,64671000,249694.9807,518.8725869
SHA,DXB,61,64371000,1055262.295,2886.360656
HGH,CTU,249,64322000,258321.2851,571.7475248
CTU,SGN,127,64167000,505251.9685,1852.96063
HGH,CGO,249,63981000,256951.8072,526.5511111
HGH,MNL,129,63964000,495844.9612,1370.666667
ALG,SGN,42,63944000,1522476.19,1698.404762
CAN,CMN,43,63213000,1470069.767,1638.348837
PVG,CMN,45,62881000,1397355.556,1535.222222
ALG,FCO,177,62869000,355192.0904,677.9943503
ALG,ADD,90,62664000,696266.6667,2810.033333
PEK,LIM,22,62304000,2832000,4101.818182
HGH,GRU,27,61550000,2279629.63,5587.777778
ALG,CDG,170,61435000,361382.3529,714.8529412
PVG,JNB,39,61328000,1572512.821,3392.871795
XIY,ICN,118,60974000,516728.8136,1103.338983
VIE,PEK,44,60932000,1384818.182,4229.818182
HGH,BOM,77,60520000,785974.026,3377.701299
CDG,VCP,40,60239000,1505975,2752.075
SHA,ALG,50,59935000,1198700,4109.24
CTU,XIY,193,59912000,310424.8705,601.9637306
HGH,SGN,125,59898000,479184,1878.52
PVG,DME,40,59835000,1495875,3792.475
DEL,VCP,30,59697000,1989900,4050.1
CGO,MUC,41,59688000,1455804.878,2758.878049
ALG,BLR,53,59469000,1122056.604,1358.584906
XIY,SGN,121,58903000,486801.6529,1816.363636
ALG,FRA,160,58765000,367281.25,939.31875
XIY,TPE,178,58726000,329921.3483,619.4730539
